No,Country,Study names,Site,SiteID,SiteUniID,urb_pc_use(%),Lat,Lon,map,aet,pet,aet_p,pet_p,dwt,Tsamp,Zpeak1963,PERC,cxtfit_v,cxtfit_D,cxtfit_R2,Applicability_tau,SimpleModel,ComplexModel
"1,UK,""Berkshire, UK"",Berkshire,UK,16,1,51.48,-1.4,706,513,678,0.7,1,45,1968,4,0.832,0.805,0.109,0.770,-3,,"
"2,Cyprus,""Akrotiri, CY"",Akrotiri,AK3,5,20,34.62,32.97,426,360,1299,0.8,3,13,1977,10,0.72,0.675,0.844,0.720,-42,,"
"3,USA,""Yucca1, US"",""Yucca Mountain, Nevada"",UZ#4,10,0,36.93,-116.48,201,174,1261,0.9,6.3,624,1984,54,2.56,2.336,2.857,0.930,36,,"
"4,USA,""Yucca2, US"",""Yucca Mountain, Nevada"",UZ#5,10,0,36.93,-116.48,201,174,1261,0.9,6.3,624,1984,28,1.34,1.320,1.195,0.660,39,,"
"5,Senegal,""Louga, SN"",Louga,L22,3,0,15.7,-16.32,345,290,1753,0.8,5.1,34,1990,11,0.41,0.401,0.121,0.890,26,,"
"6,USA,""Amargosa, US"",""Amargosa Desert, Nevada"",UZB-1,9,0,36.77,-116.7,150,129,1370,0.9,9.1,140,1992,21,0.71,0.648,2.389,0.940,74,,"
"7,USA,""Mojave, US"",""Mojave Desert, California"",LOGW-1,4,22,34.45,-117.33,556,453,1356,0.8,2.4,77,1995,12,0.39,0.304,1.483,0.360,12,,"
"8,China,""Pingding1, CN"",""Pingding, Shaanxi"",CHN85,12,25,37.68,113.68,502,431,1036,0.9,2.1,115,1985,6,0.267,0.251,0.079,0.930,68,,"
"9,China,""Pingding2, CN"",""Pingding, Shaanxi"",CHN98,12,25,37.68,113.68,502,431,1036,0.9,2.1,115,1998,10,0.29,0.256,0.413,0.710,76,,"
"10,China,""Wudan1, CN"",""Wudan, Inner Megolia"",CHN88,14,0,42.87,118.93,415,363,855,0.9,2.1,87,1988,7,0.262,0.252,0.058,0.890,71,,"
"11,China,""Wudan2, CN"",""Wudan, Inner Megolia"",CHN97,14,0,42.87,118.93,415,363,855,0.9,2.1,87,1997,10,0.3,0.298,0.069,0.790,77,,"
"12,China,""Changwu1, CN"",""Changwu, Shaanxi"",Changwu1,6,2,35.17,107.8,602,514,1005,0.9,1.7,195,2015,7,0.13,0.124,0.020,0.790,63,,"
"13,China,""Changwu2, CN"",""Changwu, Shaanxi"",Changwu2,6,2,35.17,107.8,602,514,1005,0.9,1.7,195,2015,7,0.14,0.140,0.018,0.960,74,,"
"14,China,""Changwu3, CN"",""Changwu, Shaanxi"",Changwu3,6,2,35.17,107.8,602,514,1005,0.9,1.7,195,2015,8,0.15,0.141,0.034,0.920,74,,"
"15,China,""Changwu5, CN"",""Changwu, Shaanxi"",Changwu4,6,2,35.17,107.8,602,514,1005,0.9,1.7,195,2015,7,0.13,0.118,0.061,0.810,71,,"
"16,South Africa,""Kalahari1, ZA"",Kalahari,BH7,2,3,-27.22,23.2,471,398,1620,0.8,3.4,49,1977,8,0.59,0.526,1.205,0.840,13,,"
"17,South Africa,""Kalahari2, ZA"",Kalahari,BH3,2,3,-27.22,23.2,471,398,1620,0.8,3.4,49,1977,3,0.23,0.410,0.396,0.920,7,,"
"18,South Africa,""Kalahari3, ZA"",Kalahari,PA1,2,3,-27.22,23.2,471,398,1620,0.8,3.4,49,1977,8,0.55,0.505,0.742,0.730,9,,"
"19,South Africa,""Kalahari4, ZA"",Kalahari,BH9,2,3,-27.22,23.2,471,398,1620,0.8,3.4,49,1977,10,0.7,0.629,1.992,0.640,10,,"
"20,South Africa,""Kalahari5, ZA"",Kalahari,BH8,2,3,-27.22,23.2,471,398,1620,0.8,3.4,49,1977,14,0.97,1.126,1.364,0.740,-16,,"
